% Model:              MRP_withobs.mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 14 2026, 23:47
% Table:              Table 4 - Global Evaluation 1
% u_in (m/s)             h_ratio                  Re (1)                   pe (1)                   c_bulk (mol/m^3)         sc (1)                   c_wall (mol/m^3)         sh (1)                   Re (1)                   pe (1)                   c_bulk (mol/m^3)         sc (1)                   c_wall (mol/m^3)         sh (1)                   Re (1)                   pe (1)                   c_bulk (mol/m^3)         sc (1)                   c_wall (mol/m^3)         sh (1)                   Re (1)                   pe (1)                   c_bulk (mol/m^3)         sc (1)                   c_wall (mol/m^3)         sh (1)
0.02                     0.1                      31.000000000000007       85.54319931565442        1998.7695206612782       2.7594580424404644       1997.868615835874        -4.7476268804125965      31.000000000000007       85.54319931565442        1998.7695206612782       2.7594580424404644       1997.868615835874        -4.7476268804125965      31.000000000000007       85.54319931565442        1998.7695206612782       2.7594580424404644       1997.868615835874        -4.7476268804125965      31.000000000000007       85.54319931565442        1998.7695206612782       2.7594580424404644       1997.868615835874        -4.7476268804125965
0.02                     0.2                      31.000000000000007       85.54319931565442        1998.6285246027735       2.7594580424404644       1997.5165352248337       -3.8464036173681313      31.000000000000007       85.54319931565442        1998.6285246027735       2.7594580424404644       1997.5165352248337       -3.8464036173681313      31.000000000000007       85.54319931565442        1998.6285246027735       2.7594580424404644       1997.5165352248337       -3.8464036173681313      31.000000000000007       85.54319931565442        1998.6285246027735       2.7594580424404644       1997.5165352248337       -3.8464036173681313
0.02                     0.3                      31.000000000000007       85.54319931565442        1998.4794478328115       2.7594580424404644       1997.1255395206178       -3.159120840947277       31.000000000000007       85.54319931565442        1998.4794478328115       2.7594580424404644       1997.1255395206178       -3.159120840947277       31.000000000000007       85.54319931565442        1998.4794478328115       2.7594580424404644       1997.1255395206178       -3.159120840947277       31.000000000000007       85.54319931565442        1998.4794478328115       2.7594580424404644       1997.1255395206178       -3.159120840947277
0.02                     0.4                      31.000000000000007       85.54319931565442        1998.3193431663049       2.7594580424404644       1996.735377863683        -2.7002864006571756      31.000000000000007       85.54319931565442        1998.3193431663049       2.7594580424404644       1996.735377863683        -2.7002864006571756      31.000000000000007       85.54319931565442        1998.3193431663049       2.7594580424404644       1996.735377863683        -2.7002864006571756      31.000000000000007       85.54319931565442        1998.3193431663049       2.7594580424404644       1996.735377863683        -2.7002864006571756
0.023000000000000003     0.1                      35.65000000000001        98.37467921300258        1998.916130092402        2.7594580424404644       1997.974187765308        -4.540787522499596       35.65000000000001        98.37467921300258        1998.916130092402        2.7594580424404644       1997.974187765308        -4.540787522499596       35.65000000000001        98.37467921300258        1998.916130092402        2.7594580424404644       1997.974187765308        -4.540787522499596       35.65000000000001        98.37467921300258        1998.916130092402        2.7594580424404644       1997.974187765308        -4.540787522499596
0.023000000000000003     0.2                      35.65000000000001        98.37467921300258        1998.7901764942337       2.7594580424404644       1997.6241736235402       -3.668224215639055       35.65000000000001        98.37467921300258        1998.7901764942337       2.7594580424404644       1997.6241736235402       -3.668224215639055       35.65000000000001        98.37467921300258        1998.7901764942337       2.7594580424404644       1997.6241736235402       -3.668224215639055       35.65000000000001        98.37467921300258        1998.7901764942337       2.7594580424404644       1997.6241736235402       -3.668224215639055
0.023000000000000003     0.3                      35.65000000000001        98.37467921300258        1998.6544609930768       2.7594580424404644       1997.2304916481028       -3.0036882330923924      35.65000000000001        98.37467921300258        1998.6544609930768       2.7594580424404644       1997.2304916481028       -3.0036882330923924      35.65000000000001        98.37467921300258        1998.6544609930768       2.7594580424404644       1997.2304916481028       -3.0036882330923924      35.65000000000001        98.37467921300258        1998.6544609930768       2.7594580424404644       1997.2304916481028       -3.0036882330923924
0.023000000000000003     0.4                      35.65000000000001        98.37467921300258        1998.5036698233441       2.7594580424404644       1996.8719610717005       -2.6212765982130017      35.65000000000001        98.37467921300258        1998.5036698233441       2.7594580424404644       1996.8719610717005       -2.6212765982130017      35.65000000000001        98.37467921300258        1998.5036698233441       2.7594580424404644       1996.8719610717005       -2.6212765982130017      35.65000000000001        98.37467921300258        1998.5036698233441       2.7594580424404644       1996.8719610717005       -2.6212765982130017
0.026000000000000002     0.1                      40.30000000000001        111.20615911035074       1999.0303635638732       2.7594580424404644       1998.0619923371491       -4.416859823739644       40.30000000000001        111.20615911035074       1999.0303635638732       2.7594580424404644       1998.0619923371491       -4.416859823739644       40.30000000000001        111.20615911035074       1999.0303635638732       2.7594580424404644       1998.0619923371491       -4.416859823739644       40.30000000000001        111.20615911035074       1999.0303635638732       2.7594580424404644       1998.0619923371491       -4.416859823739644
0.026000000000000002     0.2                      40.30000000000001        111.20615911035074       1998.9156306261834       2.7594580424404644       1997.712235081612        -3.554242813244208       40.30000000000001        111.20615911035074       1998.9156306261834       2.7594580424404644       1997.712235081612        -3.554242813244208       40.30000000000001        111.20615911035074       1998.9156306261834       2.7594580424404644       1997.712235081612        -3.554242813244208       40.30000000000001        111.20615911035074       1998.9156306261834       2.7594580424404644       1997.712235081612        -3.554242813244208
0.026000000000000002     0.3                      40.30000000000001        111.20615911035074       1998.78899383654         2.7594580424404644       1997.3162155542982       -2.9041438330231233      40.30000000000001        111.20615911035074       1998.78899383654         2.7594580424404644       1997.3162155542982       -2.9041438330231233      40.30000000000001        111.20615911035074       1998.78899383654         2.7594580424404644       1997.3162155542982       -2.9041438330231233      40.30000000000001        111.20615911035074       1998.78899383654         2.7594580424404644       1997.3162155542982       -2.9041438330231233
